""	"ScanData"	"X1"
"1105"	79	0
"1106"	79.06	0
"1107"	79.13	0
"1108"	79.19	0
"1109"	79.25	0
"1110"	79.31	0
"1111"	79.38	0
"1112"	79.44	0
"1113"	79.5	0
"1114"	79.56	0
"1115"	79.63	0
"1116"	79.69	0
"1117"	79.75	0
"1118"	79.81	0
"1119"	79.88	0
"1120"	79.94	0
"1121"	80	0
"1122"	80.06	0
"1123"	80.13	13.3291
"1124"	80.19	0
"1125"	80.25	10.6633
"1126"	80.31	0
"1127"	80.38	0
"1128"	80.44	0
"1129"	80.5	0
"1130"	80.56	0
"1131"	80.63	2.66581
"1132"	80.69	0
"1133"	80.75	0
"1134"	80.81	0
"1135"	80.88	0
"1136"	80.94	0
"1137"	81	0
"1138"	81.06	0
"1139"	81.13	0
"1140"	81.19	2.66581
"1141"	81.25	0
"1142"	81.31	2.66581
"1143"	81.38	0
"1144"	81.44	5.33163
"1145"	81.5	0
"1146"	81.56	5.33163
"1147"	81.63	0
"1148"	81.69	0
"1149"	81.75	2.66581
"1150"	81.81	0
"1151"	81.88	15.9949
"1152"	81.94	7.99744
"1153"	82	0
"1154"	82.06	0
"1155"	82.13	2.66581
"1156"	82.19	5.33163
"1157"	82.25	10.6633
"1158"	82.31	0
"1159"	82.38	10.6633
"1160"	82.44	0
"1161"	82.5	5.33163
"1162"	82.56	2.66581
"1163"	82.63	5.33163
"1164"	82.69	0
"1165"	82.75	0
"1166"	82.81	0
"1167"	82.88	0
"1168"	82.94	0
"1169"	83	10.6633
"1170"	83.06	5.33163
"1171"	83.13	0
"1172"	83.19	15.9949
"1173"	83.25	0
"1174"	83.31	0
"1175"	83.38	0
"1176"	83.44	0
"1177"	83.5	0
"1178"	83.56	0
"1179"	83.63	0
"1180"	83.69	0
"1181"	83.75	2.66581
"1182"	83.81	2.66581
"1183"	83.88	0
"1184"	83.94	0
"1185"	84	0
"1186"	84.06	0
"1187"	84.13	0
"1188"	84.19	0
"1189"	84.25	0
"1190"	84.31	0
"1191"	84.38	0
"1192"	84.44	0
"1193"	84.5	0
"1194"	84.56	0
"1195"	84.63	0
"1196"	84.69	0
"1197"	84.75	0
"1198"	84.81	0
"1199"	84.88	0
"1200"	84.94	0
"1201"	85	0
"1202"	85.06	0
"1203"	85.13	0
"1204"	85.19	0
"1205"	85.25	0
"1206"	85.31	0
"1207"	85.38	0
"1208"	85.44	0
"1209"	85.5	0
"1210"	85.56	0
"1211"	85.63	0
"1212"	85.69	0
"1213"	85.75	0
"1214"	85.81	0
"1215"	85.88	0
"1216"	85.94	0
"1217"	86	0
"1218"	86.06	0
"1219"	86.13	0
"1220"	86.19	0
"1221"	86.25	0
"1222"	86.31	0
"1223"	86.38	0
"1224"	86.44	2.66581
"1225"	86.5	0
"1226"	86.56	0
"1227"	86.63	0
"1228"	86.69	0
"1229"	86.75	0
"1230"	86.81	0
"1231"	86.88	0
"1232"	86.94	0
"1233"	87	0
"1234"	87.06	0
"1235"	87.13	0
"1236"	87.19	0
"1237"	87.25	0
"1238"	87.31	0
"1239"	87.38	0
"1240"	87.44	0
"1241"	87.5	0
"1242"	87.56	0
"1243"	87.63	0
"1244"	87.69	0
"1245"	87.75	0
"1246"	87.81	0
"1247"	87.88	0
"1248"	87.94	0
"1249"	88	0
"1250"	88.06	0
"1251"	88.13	0
"1252"	88.19	0
"1253"	88.25	0
"1254"	88.31	0
"1255"	88.38	0
"1256"	88.44	0
"1257"	88.5	0
"1258"	88.56	0
"1259"	88.63	0
"1260"	88.69	0
"1261"	88.75	0
"1262"	88.81	0
"1263"	88.88	0
"1264"	88.94	0
"1265"	89	0
"1266"	89.06	0
